id,text
1074929560184074240,"@SenateGOP If the Republicans fail once again to fund the southern Border Wall, I will reconsider my support for the Republicans.  You have more than sufficient time to fund the wall.  As it stands, the Republicans are ignoring President Trumps Base once again. FUND THE WALL!"
1074916765795303424,"@realDonaldTrump If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074916712720535553,"@realDonaldTrump If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074916453177016320,"@realDonaldTrump If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074916244879540225,"@WhiteHouse If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074916186624851968,"@realDonaldTrump @POTUS If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074916091078606853,"@WhiteHouse If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074915960493105152,"@WhiteHouse If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074915871611609088,"@realDonaldTrump @POTUS If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
1074915422120620032,"@realDonaldTrump @POTUS If you compromise, on this 5 billion, I will have to reconsider my support for you &amp; many of my Republican representatives.  You &amp; the republicans have had more than sufficient opportunity to get this funding since your election."
