id,screen_name,name,date_created,botornot_rt,bot
1083090506534522880,SahirShalif,Sulesh Sahir Shalif,2019-01-27 14:33:39.213482,0.9040736566800007,
1089636688115187712,keemamber,Keem,2019-01-27 14:33:39.213574,0.8191976002328196,
22243285,CassieLKearney,Cassie Kearney,2019-01-27 14:33:39.213647,0.6884177623265628,
2739083506,paul36elliott,Paul,2019-01-27 14:33:39.213852,0.46359219069702307,
1089636212405501952,Prashan05335559,Prashant Hiremath,2019-01-27 14:33:39.213908,0.9713426487044083,
1085296269768179712,UbaMusaMaude6,Uba Musa Maude,2019-01-27 14:33:39.213998,0.9402123048447205,
1013775465146994688,luvvmylukeh,5sσsмүвαвεs🌹,2019-01-27 14:33:39.214083,0.12588928944948308,
540114295,JOOBATI72747627,JbServilio,2019-01-27 14:33:39.214181,0.1807672693005155,
889583334812254216,Laura95734355,Laura,2019-01-27 14:33:39.214208,0.7830238773132401,
124875158,recepix,recx,2019-01-27 14:33:39.214261,0.7064204238004218,
177298560,aramos3170,anaramosJ#9468,2019-01-27 14:33:39.214354,0.380551857066998,
1026175234741858304,arkshanthegreat,arkshan,2019-01-27 14:33:39.214383,0.5274968237537414,
1122966619,veronicanorma10,veronica,2019-01-27 14:33:39.214410,0.380551857066998,
1089637246062510080,Gfvfc10,Gfvfc,2019-01-27 14:33:39.214446,0.44245148142042123,
1051822806114193408,ANicebert,Alex Nicebert,2019-01-27 14:33:39.214496,0.7565854729457974,
1089636186765836288,JosephM18345992,Joseph Mary,2019-01-27 14:33:39.214521,0.7866262980972412,
832623106590023682,metinekim3,metin ekim,2019-01-27 14:33:39.214614,0.826453203646374,
324969042,maki19771229,maki sakakibara,2019-01-27 14:33:39.214648,0.36065190656573104,
2526379848,PabloNeiraCalle,Pablo Neira,2019-01-27 14:33:39.214665,0.8964140695210783,
3980847256,RukhsarSial,RuKhSaR HaSsAn SiAl,2019-01-27 14:33:39.214702,0.9530817363696625,
2168720694,vasireddypramod,pramod,2019-01-27 14:33:39.214758,0.826453203646374,
4902912896,getoutgabby,gabby,2019-01-27 14:33:39.214794,0.10827700665723966,
1089636640883175424,Roro62063901,Roro 🤩 🤩,2019-01-27 14:33:39.214818,0.7238002465135849,
287699890,AnnfridKulmbach,Annfrid Kulmbach,2019-01-27 14:33:39.214852,0.826453203646374,
848687575,RichardBurns18,Richard Burns,2019-01-27 14:33:39.214872,0.9112229533096339,
1089454073320038401,KateCha50511467,Kate Chase,2019-01-27 14:33:39.214999,0.9402123048447205,
1300212187,MattTheBassist,Matt Anderson,2019-01-27 14:33:39.215036,0.6884177623265628,
19348093,Attysmith,Kenneth W. Smith,2019-01-27 14:33:39.215153,0.06263387811083082,
927786652650672128,AlysiaMSP,Shadical🤗,2019-01-27 14:33:39.215285,0.32230602190830704,
2570089494,James14207Ruiz,Rodolfo Ruiz,2019-01-27 14:33:39.215325,0.1167953743919475,
738189219588251648,Mark_stark144,Mark Stark,2019-01-27 14:33:39.215527,0.28621206238390096,
1089636432744992771,DJ47442675,DJ,2019-01-27 14:33:39.215580,0.9448325758058531,
432133463,The__Curtis,R. Curtis McNeil,2019-01-27 14:33:39.215618,0.5274968237537414,
565165264,DouglasArkin,Orion91,2019-01-27 14:33:39.215637,0.15685510336103622,
716904134,aus_davies,Irish 12-0☘,2019-01-27 14:33:39.215822,0.0215615093045025,
861936973392609281,AndrewAHeller,Sprinklr Heller,2019-01-27 14:33:39.215843,0.10030935716061677,
4833547293,PeggyEv66143124,Peggy Evans,2019-01-27 14:33:39.215882,0.7866262980972412,
2769517744,esquiermelindaa,Mél,2019-01-27 14:33:39.215914,0.8882184952163719,
33818559,jeffsuther,Jeff Suther,2019-01-27 14:33:39.215934,0.32230602190830704,
1008333920,mehmett72011388,mehmet tosun,2019-01-27 14:33:39.215969,0.8701191997119831,
731913322740760576,MichaelMonten18,Michael Montenegro,2019-01-27 14:33:39.216008,0.10030935716061677,
1089625106408751106,EdicRomanya,Edic Danismanlik Romanya,2019-01-27 14:33:39.216063,0.9112229533096339,
408793104,Paul_Coull,Paul,2019-01-27 14:33:39.216106,0.04918384795249982,
1089635585617219584,Tyno11314043,Tyno,2019-01-27 14:33:39.216127,0.9071130616102299,
697575795913592832,MrDouglasCross,Mr.Douglas Cross,2019-01-27 14:33:39.216172,0.4848645828256039,
923203664617132032,ab_subur,boye_bee💦🔥🇯🇲,2019-01-27 14:33:39.216205,0.8005982245473489,
1089536288724869120,Mnbvcxz1234Mnb3,Mnbvcxz1234 Mnbvcxz1,2019-01-27 14:33:39.216286,0.9317271668990034,
369181790,RagadNasser,رغد الناصر,2019-01-27 14:33:39.216377,0.826453203646374,
1089635329630523392,francine196754,Francine196754,2019-01-27 14:33:39.216414,0.9178878139616656,
1080916331577438208,Stephan53450630,Stephanie Dennis,2019-01-27 14:33:39.216437,0.9448325758058531,
24592455,jamessrich,james rich,2019-01-27 14:33:39.216512,0.12588928944948308,
1089157329734565888,KarabichSpn,Karalyn,2019-01-27 14:33:39.216544,0.9853116521210984,
983838586045976577,manuellemavida1,Manuel L Vidal,2019-01-27 14:33:39.216602,0.9402123048447205,
994289436,VpredatorXvx,XVpredatorXvx,2019-01-27 14:33:39.216617,0.7064204238004218,
1089635199552376832,pope33928507,pope,2019-01-27 14:33:39.216631,0.966190224001528,
93410692,Exwell,みつかりません,2019-01-27 14:33:39.216645,0.1807672693005155,
3583615945,SsdTaxri,🇸🇦ⓡَِⓐِⓨَِⓐَِⓝ🇦🇪,2019-01-27 14:33:39.216660,0.1807672693005155,
1089636291795398656,BitmexicanX,BitmexicanXBT,2019-01-27 14:33:39.216681,0.9448325758058531,
1089636100560355328,RobertoScouse,Roberto Scouse,2019-01-27 14:33:39.216720,0.6310548366819692,
60316626,donmandel,Don Mandel,2019-01-27 14:33:39.216796,0.6109757209767682,
602940149,gabrielcolina17,gabriel colina,2019-01-27 14:33:39.216931,0.9240939964164224,
1588829426,Balaji25111995,padmanabhan,2019-01-27 14:33:39.216951,0.9249299919511406,
3167496405,rcavo3,زيَاد اَلمجنوني,2019-01-27 14:33:39.217043,0.9352316115657808,
1089196444123316225,Jana55120107,Jana,2019-01-27 14:33:39.217143,0.9794591788597505,
1089635937322262529,Ted90358001,Ted,2019-01-27 14:33:39.217179,0.5487020083865324,
244660253,radiokekek,Кэт Радиокэт,2019-01-27 14:33:39.217199,0.6884177623265628,
1089635478482153472,ArielDanielIgl1,Ariel Daniel Iglesias,2019-01-27 14:33:39.217242,0.9632891569033074,
915980426136702976,AntonioMOlivei8,Antonio M Oliveira,2019-01-27 14:33:39.217278,0.9770408971734027,
3875105840,dopeitztey,TÈYTHEGREAT - T☀️T🏝G🌊,2019-01-27 14:33:39.217296,0.8701191997119831,
294901554,Charlesyna,Charlie_Chase,2019-01-27 14:33:39.217317,0.1167953743919475,
97510868,halilkus,halil kuş,2019-01-27 14:33:39.217391,0.6506901031179089,
492569862,noralvp,Noralv Pedersen,2019-01-27 14:33:39.217444,0.19374947883382485,
917531478803865600,Chris_Costa10,Chris Costa,2019-01-27 14:33:39.217469,0.4848645828256039,
105558527,MonsterKimu,I'm Not,2019-01-27 14:33:39.217503,0.09286695366967546,
16705908,AfricanQueenNo1,African Queen,2019-01-27 14:33:39.217534,0.22180647190550215,
496276999,sychothedon,frank thomas,2019-01-27 14:33:39.217594,0.42151725890598224,
424217006,y4tnovember,William,2019-01-27 14:33:39.217611,0.5274968237537414,
999601344838189056,zteca2,Ａzteca,2019-01-27 14:33:39.217647,0.826453203646374,
2843134209,davenjaxson,jaxson,2019-01-27 14:33:39.217739,0.960149429127191,
1078647827440566275,RogerJG1,Roger J. G.,2019-01-27 14:33:39.217763,0.5274968237537414,
2378060305,kupayashozac,Juan Ramón Kupa,2019-01-27 14:33:39.217908,0.6884177623265628,
328486334,FranoisVerdes,François Verdes,2019-01-27 14:33:39.217980,0.5487020083865324,
